user_id,anime_id,rating,user_index,anime_index
0,430,0.9,0,0
0,1004,0.5,0,1
0,3010,0.7,0,2
0,570,0.7,0,3
0,2762,0.9,0,4
0,431,0.8,0,5
0,578,1.0,0,6
0,433,0.6,0,7
0,1571,1.0,0,8
0,121,0.9,0,9
0,356,0.9,0,10
0,1250,0.7,0,11
0,2913,0.6,0,12
0,1689,0.6,0,13
0,68,0.6,0,14
0,1829,0.7,0,15
0,600,0.6,0,16
0,3418,0.9,0,17
0,164,0.8,0,18
0,1894,0.7,0,19
0,415,1.0,0,20
0,2236,1.0,0,21
0,448,0.5,0,22
0,2034,0.8,0,23
0,2547,0.7,0,24
0,169,0.7,0,25
0,199,0.8,0,26
0,174,0.4,0,27
0,2543,0.7,0,28
0,466,0.7,0,29
0,459,0.9,0,30
0,1047,0.6,0,31
0,2248,0.6,0,32
0,4086,0.6,0,33
0,419,0.8,0,34
1,22535,0.9,1,35
1,32281,1.0,1,36
1,38000,0.9,1,37
1,18679,0.6,1,38
1,37497,0.8,1,39
1,40221,0.8,1,40
1,37999,0.8,1,41
1,28851,0.9,1,42
1,11061,0.9,1,43
1,37965,0.9,1,44
1,30831,0.7,1,45
1,38826,0.8,1,46
1,11771,0.7,1,47
1,16894,0.7,1,48
1,24415,0.7,1,49
1,34599,0.8,1,50
1,19,0.9,1,51
1,20,1.0,1,52
1,442,0.7,1,53
1,936,0.6,1,54
1,2144,0.6,1,55
1,37259,0.8,1,56
1,32937,0.7,1,57
1,40776,0.9,1,58
1,36456,0.8,1,59
1,32935,0.8,1,60
1,6547,0.6,1,61
1,9919,0.8,1,62
1,5081,0.8,1,63
1,31043,0.9,1,64
1,31964,0.9,1,65
1,33486,0.8,1,66
1,1735,1.0,1,67
1,38408,0.8,1,68
1,28755,0.8,1,69
1,1575,1.0,1,70
1,38883,0.8,1,71
1,35849,0.6,1,72
1,18689,0.8,1,73
1,38731,0.8,1,74
1,30230,0.8,1,75
1,38691,0.9,1,76
1,38671,0.7,1,77
1,40956,0.7,1,78
1,5114,1.0,1,79
1,37349,0.7,1,80
1,20583,0.8,1,81
1,28891,0.8,1,82
1,1535,0.9,1,83
1,2472,0.7,1,84
1,23273,0.9,1,85
1,6325,0.7,1,86
1,35847,0.7,1,87
1,35507,0.7,1,88
1,37779,0.9,1,89
1,33161,0.8,1,90
1,23847,0.8,1,91
1,18753,0.7,1,92
1,39547,0.9,1,93
1,14813,0.8,1,94
1,33352,0.7,1,95
1,37521,0.9,1,96
1,39940,0.7,1,97
1,4224,0.9,1,98
1,41353,0.8,1,99
1,37430,0.8,1,100
1,2752,0.8,1,101
1,4053,0.9,1,102
1,995,0.8,1,103
1,22,0.9,1,104
1,9253,1.0,1,105
1,21881,0.5,1,106
1,11757,0.5,1,107
1,32188,1.0,1,108
1,16870,0.9,1,109
1,4437,0.7,1,110
1,36949,0.8,1,111
1,32282,0.8,1,112
1,8246,0.7,1,113
1,10589,0.7,1,114
1,13667,0.8,1,115
1,19815,0.8,1,116
1,30276,0.8,1,117
1,34134,0.7,1,118
1,14749,0.7,1,119
1,36259,0.6,1,120
1,31240,0.8,1,121
1,39587,0.9,1,122
1,35788,0.8,1,123
1,13759,0.7,1,124
1,38329,0.9,1,125
1,199,1.0,1,26
1,154,0.8,1,126
1,22199,0.7,1,127
1,11371,0.7,1,128
1,16498,1.0,1,129
1,25777,1.0,1,130
1,35760,1.0,1,131
1,28171,0.8,1,132
1,40902,0.7,1,133
1,37450,1.0,1,134
1,11577,1.0,1,135
1,30484,1.0,1,136
2,31580,0.7,2,137
2,37086,0.8,2,138
2,1604,0.9,2,139
2,22535,0.8,2,35
2,189,0.8,2,140
2,34599,0.7,2,50
2,29575,0.8,2,141
2,10620,0.8,2,142
2,32182,0.9,2,143
2,23755,0.9,2,144
2,20,0.9,2,52
2,1735,0.9,2,67
